seed,cost_suez,cost_cape,cost_basestock,cost_oracle,headroom,best_fixed,stress_disruption,stress_freight,stress_port,stress_quality,stress_supplier,stress_demand,max_overlap,overlap_weeks,spot_died,port_block_longest,fog_disruption,fog_freight,fog_port,fog_quality,fog_supplier,fog_demand,fog
0,6714.383999999998,7890.076000000001,6580.902,5265.1124,1315.7896,6714.383999999998,3,0,1,0,0,10,3,3,0,1,0.0,2.0,0.0,nan,0.0,1.3333333333333333,0.6666666666666666
1,10938.095999999998,12861.644,9100.867600000001,6084.694799999999,3016.172800000002,10938.095999999998,1,1,8,0,0,11,2,7,0,8,0.0,0.5,0.0,nan,0.0,0.6666666666666666,0.2333333333333333
2,4712.68,5723.5199999999995,4057.0568,3827.3548,229.70199999999977,4712.68,1,0,0,0,4,0,1,0,0,0,0.0,0.6666666666666666,0.5,nan,0.0,nan,0.29166666666666663
3,4932.848000000002,6411.772,4670.0128,4150.3368,519.6760000000004,4932.848000000002,0,0,0,1,0,4,1,0,0,0,nan,0.0,0.0,0.0,0.0,1.5,0.3
4,7597.447999999999,7472.172,7079.4076000000005,6287.8592,791.5484000000006,7472.172,10,0,4,0,8,0,2,7,0,2,0.0,1.5,0.7777777777777778,nan,0.0,nan,0.5694444444444444
5,6497.912,8686.868000000002,5105.9404,4921.7852,184.15520000000015,6497.912,9,2,1,0,6,21,4,11,0,1,0.0,0.125,0.0,0.5,0.25,4.0,0.8125
6,7805.7519999999995,8722.128,7262.936399999999,7874.964399999999,-612.0280000000002,7805.7519999999995,4,0,4,0,4,4,3,2,0,2,0.0,0.0,0.0,nan,0.16666666666666666,0.0,0.03333333333333333
7,12120.232,12520.848,10774.346,10185.1,589.2459999999992,12120.232,9,1,9,0,2,7,3,7,1,7,0.0,0.0,0.0,0.5,0.0,1.0,0.25
8,6109.336,8190.004,6416.6784,6192.2788,224.39959999999974,6109.336,1,2,2,0,1,12,3,2,0,2,0.0,0.16666666666666666,0.3333333333333333,nan,0.0,1.5,0.4
9,7245.024,9347.536000000002,6676.405600000001,5253.7872,1422.6184000000012,7245.024,0,3,6,10,13,1,3,10,1,3,nan,0.16666666666666666,0.0,0.2,0.42857142857142855,nan,0.1988095238095238
10,12078.920000000006,13382.38,8341.176,8294.043599999999,47.132400000000416,12078.920000000006,3,2,6,0,0,19,2,6,0,6,0.0,0.25,0.125,nan,0.0,1.6666666666666667,0.4083333333333334
11,6536.160000000002,9145.240000000002,6587.7248,5767.6792000000005,820.0455999999995,6536.160000000002,0,6,0,2,2,0,1,0,0,0,0.0,0.1111111111111111,nan,0.2,0.2,nan,0.12777777777777777
